,forwardPE,beta,priceToBook,priceToSales,dividendYield,trailingEps,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,operatingMargins,profitMargins
Apple,22.91456,1.259,42.90671,,0.53,6.3,145.0,0.923,0.783,1.3652,0.22518998,0.34459,0.24295
Microsoft,25.508362,1.0,9.367017,,0.92,12.39,33.998,1.351,1.204,0.34291,0.14649001,0.45458,0.35428002
Amazon,29.466667,1.393,6.7128463,,,5.53,54.342,1.064,0.837,0.24290001,0.07438,0.11291,0.09287
Alphabet,17.055805,1.035,5.7403655,,0.55,8.04,8.655,1.837,1.661,0.32908002,0.1674,0.33967,0.28604
Meta,21.59249,1.279,7.579466,,0.42,23.87,27.25,2.978,2.822,0.37140998,0.16863,0.45278,0.37909
Tesla,77.90123,2.58,11.132674,,,2.04,18.489,2.025,1.427,0.1042,0.04186,0.06158,0.07259
NVIDIA,26.109224,1.958,33.190372,,0.04,2.94,12.946,4.44,3.672,1.1917701,0.57417,0.61107,0.55848
Samsung,8.736062,0.733,,,2.59,,4.806,2.433,1.778,0.08997,0.042150002,0.08564,0.11175
Tencent,14.791557,0.628,0.5259011,,0.72,2.79,33.98,1.25,0.986,0.20385,0.07746,0.29852,0.29393998
Alibaba,10.555218,0.235,0.2408658,,1.72,6.79,24.142,1.482,0.991,0.102740005,0.0504,0.17134,0.12316
IBM,21.63525,0.662,7.7866354,,2.94,6.43,213.179,1.04,0.875,0.24057,0.03063,0.19672,0.095979996
Intel,20.494844,1.122,0.8671377,,2.24,-4.38,48.277,1.327,0.938,-0.17891,-0.01233,-0.18548,-0.35321
Oracle,18.624304,1.221,22.340427,,1.56,4.25,632.501,1.017,0.873,1.03741,0.073460005,0.31295002,0.21799
Sony,19.260504,0.788,0.016871573,,0.57,1.27,51.356,0.682,0.486,0.14321,0.02555,0.107370004,0.082049996
Adobe,17.034063,1.492,11.628408,,,15.16,50.118,1.185,1.027,0.47284,0.17194,0.37854,0.30635
Netflix,38.73717,1.547,15.924798,,,19.81,72.726,1.218,1.076,0.38435,0.12720999,0.22181,0.22337
AMD,17.392157,1.885,2.4991546,,,1.0,4.032,2.616,1.657,0.02893,0.019019999,0.13803001,0.06364
Qualcomm,10.98937,1.287,5.5269976,,2.67,9.27,54.23,2.619,1.794,0.41968,0.12626,0.30465,0.25936002
Cisco,14.510256,0.854,4.9432216,,3.01,2.28,71.21,0.867,0.659,0.20019,0.065560006,0.22320999,0.16958
JP Morgan,13.566906,1.005,1.9567314,,2.66,19.76,,,,0.17386,0.014839999,0.42988,0.3506
Goldman Sachs,11.78537,1.323,1.4613655,,2.55,40.56,611.106,1.504,1.352,0.11913,0.00861,0.37853,0.27368
Visa,25.6406,0.943,16.972185,,0.75,9.93,53.815,1.121,0.708,0.51191,0.16712,0.68665004,0.54269004
Johnson & Johnson,14.027358,0.48,5.00606,,3.24,5.78,52.922,1.111,0.782,0.20056,0.08126,0.18153,0.15836
Pfizer,7.3686004,0.597,1.3871756,,7.49,1.41,76.181,1.171,0.82,0.09057,0.0464,0.15903,0.12622
ExxonMobil,12.697586,0.579,1.6495543,,3.8,7.84,17.852,1.308,0.949,0.14515,0.062459998,0.085159995,0.09889
ASML,24.028122,1.26,12.366702,,1.3,19.23,27.41,1.533,0.907,0.47427,0.12737,0.36224,0.26790002
SAP,36.596092,0.949,5.7687864,,1.02,2.65,23.251,1.122,0.987,0.07062,0.071440004,0.25794,0.091409996
Siemens,21.17079,1.165,2.3783314,,2.8,9.33,76.939,1.537,0.917,0.14071,0.03898,0.11246,0.12564999
Louis Vuitton (LVMH),18.009626,1.069,3.8748858,,2.45,25.11,59.613,1.409,0.664,0.19635001,0.08356,0.20743999,0.14819999
TotalEnergies,6.542056,0.699,0.9346864,,6.41,6.11,45.088,1.098,0.832,0.13375,0.05237,0.09708,0.08056
Shell,7.553746,0.288,79.52947,,4.48,1.97,42.817,1.346,0.834,0.08966,0.052670002,0.08861,0.05661
Baidu,7.075744,0.322,0.10282679,,,8.98,27.969,2.086,1.754,0.088520005,0.032,0.11757,0.17848
JD.com,8.594204,0.537,0.21577238,,2.72,3.66,28.653,1.291,0.883,0.14649999,0.03727,0.026870001,0.03569
BYD,28.77707,0.459,1.5406125,,0.99,3.77,20.363,0.747,0.469,0.23822,0.03934,0.047220003,0.051799998
ICBC,4.8425922,0.254,0.51134145,,12.22,1.04,,,,0.09453,0.007850001,0.62361,0.55401003
Toyota,10.596958,0.241,0.060982477,,3.28,26.2,107.389,1.215,1.018,0.14547,0.03349,0.098079994,0.109060004
SoftBank,22.72681,0.615,0.8037329,,0.66,580.19,137.406,0.765,0.573,0.105500005,0.00811,0.08754,0.122889996
Nintendo,8.009345,0.379,0.007414039,,1.64,0.47,,4.446,3.758,0.12366,0.06039,0.29124,0.25927
Hyundai,,0.963,9.859506e-05,,6.07,16.41,131.158,1.456,1.16,0.12202,0.0286,0.06053,0.071490005
Reliance Industries,16.965204,0.566,2.012887,,0.42,51.09,37.464,,,,,0.12753999,0.07362
Tata Consultancy Services,20.89152,0.451,10.678656,,1.76,134.73,8.469,2.624,2.415,0.48668998,0.24497999,0.24474001,0.19344
